species,phylum,n_total,emoji,cells,photo
Abies procera,plant,154,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/80772083/square.jpeg
Adelinia grandis,plant,232,🌱,2,https://inaturalist-open-data.s3.amazonaws.com/photos/28874/square.jpg
Adiantum aleuticum,plant,465,🌱,3,https://inaturalist-open-data.s3.amazonaws.com/photos/45713149/square.jpg
Ailanthus altissima,plant,224,🌱,4,https://static.inaturalist.org/photos/21400202/square.jpg
Anaphalis margaritacea,plant,529,🌱,2,https://inaturalist-open-data.s3.amazonaws.com/photos/557174771/square.jpg
Anas platyrhynchos,vertebrate,217,🐦,1,https://inaturalist-open-data.s3.amazonaws.com/photos/95268822/square.jpg
Anemone oregana,plant,211,🌱,1,https://static.inaturalist.org/photos/66863200/square.jpg
Aphelocoma californica,vertebrate,211,🐦,1,https://static.inaturalist.org/photos/1576701/square.jpg
Aquilegia formosa,plant,629,🌱,4,https://inaturalist-open-data.s3.amazonaws.com/photos/534432091/square.jpg
Ardea herodias,vertebrate,166,🐦,1,https://inaturalist-open-data.s3.amazonaws.com/photos/65060931/square.jpg
Ariolimax columbianus,mollusc,560,🐌,4,https://inaturalist-open-data.s3.amazonaws.com/photos/59264526/square.jpeg
Asarum caudatum,plant,174,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/511529038/square.jpg
Callospermophilus lateralis,vertebrate,194,🐦,1,https://inaturalist-open-data.s3.amazonaws.com/photos/2519439/square.JPG
Calochortus subalpinus,plant,450,🌱,7,https://inaturalist-open-data.s3.amazonaws.com/photos/191923/square.jpg
Calypso bulbosa,plant,361,🌱,4,https://inaturalist-open-data.s3.amazonaws.com/photos/1190/square.jpg
Calyptridium umbellatum,plant,174,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/101107/square.jpg
Cardamine nuttallii,plant,322,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/123325756/square.jpeg
Castilleja hispida,plant,336,🌱,2,https://inaturalist-open-data.s3.amazonaws.com/photos/198919715/square.jpeg
Castilleja miniata,plant,196,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/42374889/square.jpeg
Ceanothus integerrimus,plant,142,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/214987048/square.jpeg
Centaurea cyanus,plant,419,🌱,2,https://static.inaturalist.org/photos/509434331/square.jpg
Chamaenerion angustifolium,plant,654,🌱,3,https://inaturalist-open-data.s3.amazonaws.com/photos/619007051/square.jpg
Chimaphila umbellata,plant,248,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/144081847/square.jpeg
Chrysolepis chrysophylla,plant,358,🌱,3,https://inaturalist-open-data.s3.amazonaws.com/photos/200823844/square.jpg
Collinsia grandiflora,plant,102,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/62149408/square.jpg
Cornus unalaschkensis,plant,574,🌱,6,https://inaturalist-open-data.s3.amazonaws.com/photos/678726721/square.jpg
Corydalis scouleri,plant,285,🌱,2,https://static.inaturalist.org/photos/127603915/square.jpeg
Crocidium multicaule,plant,364,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/45494518/square.jpg
Cytisus scoparius,plant,222,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/70985676/square.jpg
Delphinium trolliifolium,plant,110,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/133938937/square.jpeg
Dicamptodon tenebrosus,vertebrate,127,🐦,1,https://inaturalist-open-data.s3.amazonaws.com/photos/404409290/square.jpeg
Dicentra formosa,plant,714,🌱,2,https://inaturalist-open-data.s3.amazonaws.com/photos/76022505/square.jpg
Digitalis purpurea,plant,439,🌱,2,https://inaturalist-open-data.s3.amazonaws.com/photos/179728943/square.jpeg
Dipsacus fullonum,plant,125,🌱,1,https://static.inaturalist.org/photos/4385824/square.jpg
Ericameria nauseosa,plant,183,🌱,2,https://inaturalist-open-data.s3.amazonaws.com/photos/317214763/square.jpeg
Eriogonum compositum,plant,631,🌱,4,https://inaturalist-open-data.s3.amazonaws.com/photos/169687/square.jpg
Eriogonum umbellatum,plant,151,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/431664/square.jpg
Eriophyllum lanatum,plant,398,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/506368268/square.jpg
Erythronium grandiflorum,plant,279,🌱,1,https://inaturalist-open-data.s3.amazonaws.com/photos/196053633/square.jpg
